Cyclone_Frequency,Depth_m,ClimSST,Country_Name,Distance_to_Shore,Exposure,Turbidity,Bleaching_Level,Temperature_Maximum,SSTA,TSA,Percent_Bleaching,Percent_Cover
35.92,2.0,262.15,Indonesia,210.91,Sometimes,0.0728,Colony,305.11,0.7,-1.19,75.0,10.62
48.78,6.0,301.01,Indonesia,140.16,Sheltered,0.0465,Colony,304.61,1.03,0.26,75.0,10.62
54.75,6.0,302.05,Indonesia,762.72,Sheltered,0.0432,Colony,305.36,0.61,0.37,75.0,10.62
52.98,8.0,300.75,Malaysia,11448.75,Exposed,0.1771,Colony,306.21,0.15,-3.11,75.0,10.62
52.98,9.0,303.6,Malaysia,11448.75,Exposed,0.1771,Colony,306.21,-0.6,-0.59,75.0,10.62
52.98,8.0,303.25,Malaysia,11448.75,Exposed,0.1771,Colony,306.21,-0.13,-0.48,75.0,10.62
48.64,6.0,304.07,Malaysia,96.56,Sometimes,0.1509,Colony,306.89,-0.15,-1.44,75.0,10.62
52.98,11.0,303.21,Malaysia,11047.76,Exposed,0.1771,Colony,306.2,1.07,0.42,75.0,10.62
48.58,6.0,301.57,Philippines,795.09,Exposed,0.0411,Colony,305.51,2.06,1.13,75.0,10.62
48.64,6.0,303.72,Malaysia,824.12,Sheltered,0.1509,Colony,306.89,0.86,0.64,75.0,10.62
48.64,6.0,303.14,Malaysia,824.12,Sheltered,0.1509,Colony,306.89,0.53,-0.53,75.0,10.62
48.64,6.0,301.73,Malaysia,824.12,Sheltered,0.1509,Colony,306.89,0.68,-1.61,75.0,10.62
52.98,3.0,303.2,Malaysia,10706.71,Exposed,0.1771,Colony,306.21,0.98,0.29,75.0,10.62
52.98,11.0,303.2,Malaysia,10706.71,Exposed,0.1771,Colony,306.21,0.98,0.29,75.0,10.62
52.92,22.0,302.99,Malaysia,24405.77,Exposed,0.1226,Colony,306.7,0.98,0.1,75.0,10.62
52.92,21.0,302.99,Malaysia,25017.09,Exposed,0.1226,Colony,306.7,0.98,0.1,75.0,10.62
54.95,20.0,262.15,Philippines,69.87,Sheltered,0.0806,Colony,305.81,0.9,0.5,75.0,10.62
56.13,6.0,301.94,Philippines,4461.78,Exposed,0.058,Colony,305.91,0.87,0.46,75.0,10.62
56.98,28.0,302.28,Philippines,26216.71,Sheltered,0.0565,Colony,305.91,2.31,1.8,75.0,10.62
56.83,12.0,302.24,Philippines,829.97,Sheltered,0.3008,Colony,306.23,-0.01,-0.14,75.0,10.62
54.02,10.0,302.3,Philippines,471.91,Sheltered,0.0878,Colony,305.45,1.41,1.24,75.0,10.62
52.94,15.0,301.81,Philippines,7376.04,Sheltered,0.0648,Colony,304.91,1.77,0.59,75.0,10.62
57.06,6.0,301.5,Philippines,12383.22,Exposed,0.0321,Colony,304.98,1.46,0.18,75.0,10.62
64.63,15.0,301.9,Philippines,7975.02,Sheltered,0.0725,Colony,305.29,0.91,0.24,75.0,10.62
45.58,15.0,302.44,Philippines,1038.27,Exposed,0.0305,Colony,305.48,2.34,1.41,75.0,10.62
52.77,6.0,302.12,Philippines,157756.93,Exposed,0.0434,Colony,305.95,1.42,0.78,75.0,10.62
52.13,6.0,262.15,Philippines,371.97,Sheltered,0.0745,Colony,305.51,1.74,1.04,75.0,10.62
54.53,6.0,262.15,Philippines,1171.05,Sheltered,0.0492,Colony,306.04,1.94,1.38,75.0,10.62
44.26,12.0,262.15,Philippines,48.74,Sheltered,0.0568,Colony,304.69,0.09,-0.72,75.0,10.62
52.09,6.0,262.15,Philippines,221.68,Sheltered,0.0632,Colony,305.1,0.88,0.06,75.0,10.62
55.45,6.0,302.1,Philippines,1008.31,Exposed,0.0521,Colony,305.98,1.57,0.77,75.0,10.62
63.43,6.0,301.97,Philippines,1939.02,Sheltered,0.0462,Colony,305.73,0.97,-0.08,75.0,10.62
51.8,6.0,302.03,Philippines,880.33,Sheltered,0.0797,Colony,307.13,0.95,0.18,75.0,10.62
52.91,6.0,300.81,Philippines,1279.5,Sheltered,0.0867,Colony,305.32,0.83,-0.74,75.0,10.62
51.6,6.0,262.15,Philippines,469.6,Sheltered,0.0659,Colony,305.22,-0.1,-2.0,75.0,10.62
47.57,6.0,302.24,Singapore,1030.05,Sheltered,0.2257,Colony,306.45,0.9,0.71,75.0,10.62
47.0,6.0,302.14,Singapore,383.01,Sheltered,0.2531,Colony,304.94,0.75,0.56,75.0,10.62
49.95,4.0,301.58,Thailand,152.97,Sheltered,0.0632,Colony,306.11,0.41,-1.84,75.0,10.62
47.87,1.0,262.15,Thailand,965.65,Sheltered,0.0881,Colony,306.81,-0.71,-2.2,75.0,10.62
47.87,1.0,262.15,Thailand,965.65,Sheltered,0.0881,Colony,306.81,1.21,1.06,75.0,10.62
47.87,1.0,262.15,Thailand,965.65,Sheltered,0.0881,Colony,306.81,1.02,0.98,75.0,10.62
47.87,6.0,262.15,Thailand,1010.51,Sheltered,0.1016,Colony,306.81,0.58,-0.11,75.0,10.62
47.86,6.0,262.15,Thailand,1068.32,Sheltered,0.0735,Colony,306.7,0.8,0.19,75.0,10.62
49.7,6.0,262.15,Thailand,1329.23,Sheltered,0.6108,Colony,308.09,0.63,0.32,75.0,10.62
49.39,6.0,303.61,Thailand,1782.95,Sheltered,0.0911,Colony,306.39,1.34,0.94,75.0,10.62
47.16,10.0,302.61,Thailand,51.32,Sheltered,0.0491,Colony,305.58,1.38,1.22,75.0,10.62
47.45,6.0,302.58,Thailand,1380.38,Sheltered,0.0517,Colony,305.63,0.53,0.34,75.0,10.62
47.86,1.0,262.15,Thailand,1277.34,Sheltered,0.0735,Colony,306.7,1.02,0.96,75.0,10.62
48.13,6.0,303.06,Thailand,1789.48,Sheltered,0.0679,Colony,306.92,1.25,1.2,75.0,10.62
48.0,6.0,302.64,Thailand,5010.83,Sheltered,0.1598,Colony,308.04,2.21,1.18,75.0,10.62
49.19,6.0,301.26,Vietnam,1701.1,Exposed,0.0581,Colony,304.76,2.43,1.73,75.0,10.62
46.2,6.0,301.45,Vietnam,3022.28,Exposed,0.124,Colony,304.98,-1.64,-2.08,75.0,10.62
50.24,6.0,301.09,Vietnam,890.81,Sheltered,0.1143,Colony,306.07,-0.88,-1.31,75.0,10.62
49.29,15.0,262.15,Vietnam,577.74,Exposed,0.0661,Colony,306.02,-0.2,-1.43,75.0,10.62
49.88,6.0,301.51,Cambodia,299.32,Sheltered,0.0888,Colony,307.01,0.77,-0.63,11.0,10.62
52.98,11.0,303.08,Malaysia,11593.84,Exposed,0.1586,Colony,306.32,0.96,0.28,11.0,10.62
49.88,6.0,301.85,Cambodia,299.32,Sheltered,0.0888,Colony,307.01,0.51,-1.89,12.0,10.62
53.57,3.0,302.62,Indonesia,2446.47,Sheltered,0.0466,Colony,306.04,-0.24,-0.29,12.5,10.62
49.35,6.0,301.34,Indonesia,152.82,Sheltered,0.0697,Colony,305.82,0.36,-0.18,15.0,10.62
52.98,11.0,303.2,Malaysia,11270.64,Exposed,0.1771,Colony,306.21,0.98,0.29,16.0,10.62
50.92,6.0,302.01,Philippines,162082.33,Exposed,0.03,Colony,305.61,1.13,0.83,18.0,10.62
50.92,6.0,302.01,Philippines,162082.33,Exposed,0.03,Colony,305.61,1.13,0.83,18.9,10.62
53.23,6.0,303.47,Brunei,30080.65,Exposed,0.116,Colony,306.64,-0.81,-0.82,20.0,10.62
52.98,11.0,303.21,Malaysia,11748.75,Exposed,0.1771,Colony,306.2,1.07,0.42,21.0,10.62
49.88,7.0,262.15,Cambodia,242.34,Sheltered,0.1002,Colony,306.78,1.41,-0.53,25.0,10.62
49.94,7.0,302.1,Cambodia,150.02,Sheltered,0.1214,Colony,306.94,1.85,-0.11,25.0,10.62
50.92,6.0,302.01,Philippines,162082.33,Exposed,0.03,Colony,305.61,1.13,0.83,27.0,10.62
49.88,6.0,302.03,Cambodia,299.32,Sheltered,0.0888,Colony,307.01,2.01,-0.01,30.0,10.62
49.88,7.0,302.39,Cambodia,164.24,Sheltered,0.0917,Colony,306.95,0.98,-0.52,30.0,10.62
41.03,2.0,300.36,Indonesia,268.58,Sheltered,0.4569,Colony,305.24,1.71,0.73,30.0,10.62
48.95,6.0,301.92,Malaysia,329.11,Sheltered,0.1068,Colony,306.45,0.47,-0.12,30.5,10.62
49.88,6.0,302.07,Cambodia,299.32,Sheltered,0.0888,Colony,307.01,0.9,-0.4,34.0,10.62
49.52,6.0,302.77,Malaysia,2284.66,Sometimes,0.0612,Colony,305.42,0.46,0.43,35.0,10.62
48.0,6.0,262.15,Thailand,3090.73,Sheltered,0.205,Colony,306.45,0.96,0.85,40.0,10.62
49.88,6.0,302.35,Cambodia,299.32,Sheltered,0.0888,Colony,307.01,1.5,-0.14,47.0,10.62
53.29,6.0,303.05,Brunei,17799.33,Exposed,0.2733,Colony,306.85,0.91,0.49,30.5,10.62
49.3,6.0,301.58,Indonesia,2553.91,Sheltered,0.0539,Colony,305.2,0.91,-0.19,30.5,10.62
48.13,6.0,301.65,Indonesia,4166.08,Sheltered,0.0743,Colony,305.67,2.28,0.79,30.5,10.62
49.35,6.0,301.86,Indonesia,6203.98,Exposed,0.0528,Colony,305.07,0.62,-0.59,30.5,10.62
48.78,6.0,302.29,Indonesia,1180.83,Sheltered,0.0422,Colony,305.32,0.95,0.79,30.5,10.62
54.13,6.0,302.51,Indonesia,11023.05,Sometimes,0.0509,Colony,305.57,0.85,0.79,30.5,10.62
54.72,6.0,301.63,Indonesia,793.76,Sheltered,0.0426,Colony,305.75,1.68,1.09,30.5,10.62
53.74,2.0,303.92,Malaysia,579.38,Sheltered,0.0843,Colony,305.98,0.64,0.28,30.5,10.62
56.67,9.0,299.81,Philippines,880.09,Sheltered,0.0514,Colony,304.6,-1.27,-3.44,30.5,10.62
56.83,12.0,302.37,Philippines,55.08,Sheltered,0.0754,Colony,306.12,-0.19,-0.34,30.5,10.62
56.3,6.0,302.16,Philippines,6157.66,Sheltered,0.0478,Colony,305.91,1.59,1.39,30.5,10.62
38.11,6.0,301.92,Philippines,11621.59,Sheltered,0.0593,Colony,305.66,1.54,0.48,30.5,10.62
54.95,6.0,301.72,Philippines,2395.6,Sheltered,0.0654,Colony,305.83,-0.8,-1.56,30.5,10.62
63.43,6.0,301.97,Philippines,1939.02,Sheltered,0.0462,Colony,305.73,0.97,-0.08,30.5,10.62
56.79,3.0,302.42,Philippines,940.42,Sheltered,0.1533,Colony,306.16,-0.05,-0.62,30.5,10.62
56.29,6.0,301.87,Philippines,149.76,Sheltered,0.0495,Colony,305.86,0.5,0.46,30.5,10.62
55.91,6.0,301.39,Philippines,4513.44,Sheltered,0.0634,Colony,311.6,1.24,0.47,30.5,10.62
49.18,6.0,303.71,Thailand,1185.75,Exposed,0.1676,Colony,305.95,0.59,0.17,30.5,10.62
48.52,6.0,303.86,Thailand,1311.67,Sheltered,0.5074,Colony,308.16,0.84,0.83,30.5,10.62
49.24,6.0,262.15,Thailand,1210.89,Sheltered,0.1428,Colony,306.44,1.41,1.23,30.5,10.62
49.94,6.0,303.55,Thailand,1125.77,Sheltered,0.0598,Colony,306.92,1.32,1.19,30.5,10.62
48.48,6.0,303.57,Thailand,969.13,Sheltered,0.224,Colony,308.29,1.53,1.51,30.5,10.62
45.67,6.0,303.21,Thailand,1029.3,Sheltered,0.1962,Colony,306.07,1.14,1.02,30.5,10.62
49.99,6.0,303.58,Thailand,936.41,Sheltered,0.0878,Colony,306.1,2.65,2.5,30.5,10.62
50.11,6.0,262.15,Thailand,1059.18,Sheltered,0.431,Colony,308.4,2.41,2.25,30.5,10.62
49.75,6.0,303.63,Thailand,2352.79,Sheltered,0.1267,Colony,307.25,2.1,1.96,30.5,10.62
49.66,6.0,262.15,Thailand,734.47,Sheltered,0.1332,Colony,307.48,1.86,1.66,30.5,10.62
49.5,6.0,303.8,Thailand,3036.13,Sheltered,0.2239,Colony,306.05,0.68,0.31,30.5,10.62
49.54,6.0,303.9,Thailand,142.0,Sheltered,0.2242,Colony,306.6,0.07,-0.29,30.5,10.62
49.54,8.0,302.99,Malaysia,72.48,Exposed,0.052,Colony,306.25,0.13,-0.37,1.0,10.62
49.54,5.0,302.93,Malaysia,134.06,Sheltered,0.0734,Colony,305.79,0.43,-0.13,1.5,10.62
52.98,12.0,303.08,Malaysia,11651.81,Exposed,0.1586,Colony,306.32,0.96,0.28,4.0,10.62
47.87,1.0,262.15,Thailand,965.65,Sheltered,0.0881,Colony,306.81,0.4,0.32,4.0,10.62
47.39,3.0,302.34,Indonesia,20.47,Sheltered,0.0372,Colony,305.44,-0.28,-0.32,5.0,10.62
52.98,6.0,303.94,Malaysia,7554.16,Exposed,0.4293,Colony,306.39,-0.71,-0.95,5.0,10.62
48.64,12.0,303.34,Malaysia,824.12,Sheltered,0.1509,Colony,306.89,0.59,-0.08,5.0,10.62
48.64,6.0,303.23,Malaysia,157.44,Sheltered,0.1414,Colony,306.89,-0.26,-1.26,5.0,10.62
48.64,6.0,303.23,Malaysia,395.43,Sheltered,0.1414,Colony,306.89,-0.26,-1.26,5.0,10.62
49.62,6.0,262.15,Malaysia,78.67,Sheltered,0.0502,Colony,305.89,1.59,1.59,5.0,10.62
50.92,6.0,302.01,Philippines,162082.33,Exposed,0.03,Colony,305.61,1.13,0.83,6.0,10.62
52.98,11.0,303.2,Malaysia,11394.95,Exposed,0.1771,Colony,306.21,0.98,0.29,6.0,10.62
53.37,6.0,303.63,Brunei,9240.29,Exposed,0.1459,Colony,306.79,1.28,1.28,10.0,10.62
53.36,6.0,303.3,Brunei,3711.53,Exposed,0.2167,Colony,306.73,0.62,0.22,10.0,10.62
49.94,7.0,302.22,Cambodia,279.81,Sheltered,0.1491,Colony,307.04,1.78,-0.14,10.0,10.62
49.94,7.0,262.15,Cambodia,278.99,Sheltered,0.1078,Colony,306.74,1.11,-0.43,10.0,10.62
49.63,4.0,303.51,Malaysia,1782.34,Sometimes,0.0556,Colony,305.79,1.61,1.61,10.0,10.62
48.57,4.0,303.93,Malaysia,739.32,Sheltered,0.1742,Colony,307.0,-0.61,-0.62,10.0,10.62
48.64,4.0,303.14,Malaysia,11782.74,Sheltered,0.1355,Colony,306.5,-0.12,-1.05,10.0,10.62
48.64,8.0,303.23,Malaysia,520.69,Sheltered,0.1414,Colony,306.89,-0.26,-1.26,10.0,10.62
54.65,2.0,299.51,Philippines,28148.68,Exposed,0.0593,Colony,305.66,0.44,-1.39,10.0,10.62
53.74,6.0,303.3,Malaysia,2205.35,Sheltered,0.0889,Colony,305.98,-0.4,-0.64,5.5,10.62
45.86,6.0,262.15,Indonesia,316.92,Exposed,0.0579,Colony,305.37,1.48,1.23,5.5,10.62
49.25,6.0,262.15,Indonesia,1177.14,Sheltered,0.0761,Colony,306.63,2.74,1.96,5.5,10.62
47.27,6.0,300.69,Indonesia,1496.27,Exposed,0.046,Colony,305.01,-0.9,-1.83,5.5,10.62
46.24,6.0,300.36,Indonesia,934.26,Exposed,0.055,Colony,305.77,0.65,-0.22,5.5,10.62
48.78,6.0,301.6,Indonesia,563.16,Sheltered,0.0403,Colony,304.67,1.29,0.2,5.5,10.62
53.34,6.0,262.15,Indonesia,600.54,Sheltered,0.0448,Colony,306.0,1.13,0.74,5.5,10.62
49.56,2.0,302.74,Malaysia,454.63,Exposed,0.0553,Colony,305.41,1.92,1.91,5.5,10.62
49.57,6.0,302.78,Malaysia,664.66,Exposed,0.0587,Colony,305.29,0.79,0.76,5.5,10.62
54.44,6.0,262.15,Malaysia,1752.13,Sheltered,0.1127,Colony,306.09,0.41,0.38,5.5,10.62
54.47,6.0,303.2,Malaysia,773.03,Sheltered,0.1098,Colony,305.52,1.48,1.49,5.5,10.62
53.74,2.0,303.92,Malaysia,261.07,Sometimes,0.0895,Colony,305.98,0.64,0.28,5.5,10.62
49.46,6.0,302.11,Malaysia,195.33,Exposed,0.0499,Colony,304.97,0.85,0.44,5.5,10.62
48.64,4.0,303.23,Malaysia,342.93,Sheltered,0.1414,Colony,306.89,-0.26,-1.26,5.5,10.62
48.64,8.0,303.23,Malaysia,363.85,Sheltered,0.1509,Colony,306.89,-0.26,-1.26,5.5,10.62
48.64,6.0,303.23,Malaysia,448.38,Sheltered,0.1509,Colony,306.89,-0.26,-1.26,5.5,10.62
52.98,5.0,303.13,Malaysia,7574.84,Exposed,0.4293,Colony,306.39,0.58,-0.25,5.5,10.62
49.54,5.0,301.66,Malaysia,1795.01,Exposed,0.0543,Colony,306.3,0.76,-0.45,5.5,10.62
57.84,6.0,302.8,Philippines,443.19,Sheltered,0.0466,Colony,306.52,1.44,1.38,5.5,10.62
47.87,1.0,262.15,Thailand,965.65,Sheltered,0.0881,Colony,306.81,0.8,0.74,5.5,10.62
47.86,6.0,262.15,Thailand,1397.56,Sheltered,0.0692,Colony,306.7,0.38,-0.25,5.5,10.62
47.16,6.0,303.09,Thailand,517.5,Sheltered,0.0491,Colony,305.58,0.65,0.29,5.5,10.62
47.45,6.0,303.16,Thailand,774.76,Sheltered,0.0517,Colony,305.63,-0.08,-0.59,5.5,10.62
53.15,9.0,300.78,Vietnam,347.61,Sheltered,0.0645,Colony,303.52,2.04,1.96,5.5,10.62
50.24,9.0,301.13,Vietnam,734.1,Sheltered,0.0965,Colony,306.07,1.87,1.72,5.5,10.62
49.86,9.0,301.62,Vietnam,132.81,Sheltered,0.1119,Colony,305.44,1.44,1.39,5.5,10.62
49.86,9.0,301.67,Vietnam,2976.76,Sheltered,0.1119,Colony,305.02,1.55,1.46,5.5,10.62
53.15,12.0,303.82,Brunei,23301.79,Exposed,0.1498,Population,306.06,1.09,0.85,0.0,28.12
53.15,12.0,303.82,Brunei,23301.79,Exposed,0.1498,Population,306.06,1.09,0.85,0.0,26.88
53.22,6.0,303.89,Brunei,7655.82,Exposed,0.2607,Population,305.95,-1.42,-1.58,0.0,21.88
53.22,6.0,303.89,Brunei,7655.82,Exposed,0.2607,Population,305.95,-1.42,-1.58,0.0,5.62
53.22,8.0,303.89,Brunei,7859.61,Exposed,0.2607,Population,305.95,-1.42,-1.58,0.0,18.12
53.22,8.0,303.89,Brunei,7859.61,Exposed,0.2607,Population,305.95,-1.42,-1.58,0.0,10.0
53.22,8.0,303.89,Brunei,7911.89,Exposed,0.2607,Population,305.95,-1.42,-1.58,0.0,26.25
53.22,8.0,303.89,Brunei,7911.89,Exposed,0.2607,Population,305.95,-1.42,-1.58,0.0,19.38
53.22,11.0,303.89,Brunei,7963.19,Exposed,0.2607,Population,305.95,-1.42,-1.58,0.0,35.62
53.22,11.0,303.89,Brunei,7963.19,Exposed,0.2607,Population,305.95,-1.42,-1.58,0.0,0.62
53.15,17.0,303.78,Brunei,28715.06,Exposed,0.1242,Population,306.45,1.17,0.88,0.0,15.0
53.15,17.0,303.78,Brunei,28715.06,Exposed,0.1242,Population,306.45,1.17,0.88,0.0,14.38
53.15,15.0,303.78,Brunei,29237.77,Exposed,0.1242,Population,306.45,1.17,0.88,0.0,14.38
53.15,15.0,303.78,Brunei,29237.77,Exposed,0.1242,Population,306.45,1.17,0.88,0.0,23.75
53.22,11.0,303.84,Brunei,10240.93,Exposed,0.1856,Population,306.1,-1.3,-1.48,0.0,41.88
53.22,11.0,303.84,Brunei,10240.93,Exposed,0.1856,Population,306.1,-1.3,-1.48,0.0,11.88
53.22,11.0,303.82,Brunei,9969.07,Exposed,0.1856,Population,306.07,-2.11,-2.26,0.0,15.0
53.22,11.0,303.82,Brunei,9969.07,Exposed,0.1856,Population,306.07,-2.11,-2.26,0.0,12.5
53.22,7.0,303.82,Brunei,10371.22,Exposed,0.1856,Population,306.07,-2.11,-2.26,0.0,18.12
53.22,7.0,303.82,Brunei,10371.22,Exposed,0.1856,Population,306.07,-2.11,-2.26,0.0,8.12
53.15,11.0,303.78,Brunei,31822.84,Exposed,0.1242,Population,306.45,1.17,0.88,0.0,39.38
53.15,11.0,303.78,Brunei,31822.84,Exposed,0.1242,Population,306.45,1.17,0.88,0.0,13.12
53.15,11.0,303.78,Brunei,31822.84,Exposed,0.1242,Population,306.45,1.17,0.88,0.0,42.5
53.15,11.0,303.78,Brunei,31822.84,Exposed,0.1242,Population,306.45,1.17,0.88,0.0,11.25
53.22,14.0,303.88,Brunei,15802.65,Exposed,0.1314,Population,306.34,-0.5,-0.8,0.0,28.12
53.22,14.0,303.88,Brunei,15802.65,Exposed,0.1314,Population,306.34,-0.5,-0.8,0.0,6.25
53.22,11.0,303.88,Brunei,16324.7,Exposed,0.1314,Population,306.34,-0.5,-0.8,0.0,37.5
53.22,11.0,303.88,Brunei,16324.7,Exposed,0.1314,Population,306.34,-0.5,-0.8,0.0,16.25
53.22,12.0,303.78,Brunei,16324.7,Exposed,0.1314,Population,306.34,-1.29,-1.45,0.0,32.5
53.22,12.0,303.78,Brunei,16324.7,Exposed,0.1314,Population,306.34,-1.29,-1.45,0.0,6.25
53.29,8.0,301.27,Brunei,13986.79,Exposed,0.1443,Population,306.13,0.9,-0.48,0.0,44.38
53.29,8.0,301.27,Brunei,13986.79,Exposed,0.1443,Population,306.13,0.9,-0.48,0.0,0.0
53.29,8.0,301.27,Brunei,13986.79,Exposed,0.1443,Population,306.13,0.9,-0.48,0.0,40.62
53.29,8.0,301.27,Brunei,13986.79,Exposed,0.1443,Population,306.13,0.9,-0.48,0.0,0.0
53.29,7.0,301.27,Brunei,13516.38,Exposed,0.1443,Population,306.13,0.9,-0.48,0.0,51.88
53.29,7.0,301.27,Brunei,13516.38,Exposed,0.1443,Population,306.13,0.9,-0.48,0.0,2.5
53.29,9.0,301.27,Brunei,13506.38,Exposed,0.1443,Population,306.13,0.9,-0.48,0.0,42.5
53.29,9.0,301.27,Brunei,13506.38,Exposed,0.1443,Population,306.13,0.9,-0.48,0.0,1.25
53.29,11.0,303.68,Brunei,13447.91,Exposed,0.1443,Population,306.13,-0.89,-1.02,0.0,41.88
53.29,11.0,303.68,Brunei,13447.91,Exposed,0.1443,Population,306.13,-0.89,-1.02,0.0,22.5
53.29,6.0,303.68,Brunei,13013.34,Exposed,0.1443,Population,306.13,-0.89,-1.02,0.0,46.25
